"","stage","sp","modName","parName","Estimate","Std..Error"
"293","egg","Ostrinia nubilalis","beta_16","T1",9.93726374851153,5.8025066588325
"294","egg","Ostrinia nubilalis","beta_16","T2",45.5171958676237,5.99832871851843
"295","egg","Ostrinia nubilalis","beta_16","Tm",32.6758345964629,1.43866532231143
"296","egg","Ostrinia nubilalis","briere1_99","aa",0.000158980711106451,2.43281427765026e-05
"297","egg","Ostrinia nubilalis","briere1_99","Tmin",10.3802384809408,1.58859761994027
"298","egg","Ostrinia nubilalis","briere1_99","Tmax",39.1647045278827,1.09509699935348
"299","egg","Ostrinia nubilalis","briere2_99","aa",3.19479373089358e-05,0.000139338947075266
"300","egg","Ostrinia nubilalis","briere2_99","Tmin",11.9861759480563,2.24865330436276
"301","egg","Ostrinia nubilalis","briere2_99","Tmax",45.6417512660459,16.4708159079901
"302","egg","Ostrinia nubilalis","briere2_99","bb",0.986810266724731,1.19552007873833
"303","egg","Ostrinia nubilalis","kontodimas_04","aa",4.26607320267876e-05,1.14917707454656e-05
"304","egg","Ostrinia nubilalis","kontodimas_04","Tmin",8.63796609102707,1.29813234108613
"305","egg","Ostrinia nubilalis","kontodimas_04","Tmax",44.4846130328358,2.00908888629349
"306","egg","Ostrinia nubilalis","shi_11","cc",272.475138213017,1215439.3273919
"307","egg","Ostrinia nubilalis","shi_11","k1",7.63177825016663e-05,0.340447994510653
"308","egg","Ostrinia nubilalis","shi_11","T1",12.8344212336928,2.88269436535935
"309","egg","Ostrinia nubilalis","shi_11","k2",0.116481864365812,0.934966123567539
"310","egg","Ostrinia nubilalis","shi_11","T2",43.1570245564859,15.9417653765071
"311","egg","Ostrinia nubilalis","perf2_11","cc",0.0207934354978033,0.00854441254071082
"312","egg","Ostrinia nubilalis","perf2_11","T1",12.8338657761706,1.39969863081258
"313","egg","Ostrinia nubilalis","perf2_11","k",0.116291842783724,0.15427395955426
"314","egg","Ostrinia nubilalis","perf2_11","T2",43.1594232057202,6.57883123583412
"315","egg","Ostrinia nubilalis","regniere_12","phi",0.205492630062048,29.7329982737264
"316","egg","Ostrinia nubilalis","regniere_12","bb",0.131667664264078,4.40894277633051
"317","egg","Ostrinia nubilalis","regniere_12","Tb",12.430017821167,7.99025629162029
"318","egg","Ostrinia nubilalis","regniere_12","Tm",48.2299386279502,13335.8117386635
"319","egg","Ostrinia nubilalis","regniere_12","deltab",165.343724614203,212191.544256279
"320","egg","Ostrinia nubilalis","regniere_12","deltam",9.6308513649247,337.944782447068
"321","larva","Ostrinia nubilalis","analytis_77","aa",0.00094837939467125,0.00643659988172143
"322","larva","Ostrinia nubilalis","analytis_77","bb",1.27320660950722,1.76550978316899
"323","larva","Ostrinia nubilalis","analytis_77","cc",-0.00174418246218745,0.209982928340863
"324","larva","Ostrinia nubilalis","analytis_77","Tmin",6.5609276897099,17.7731701877197
"325","larva","Ostrinia nubilalis","analytis_77","Tmax",35.0000026729061,0.00476644124187649
"326","larva","Ostrinia nubilalis","ratkowsky_83","cc",3.84314269372,11374.0568843891
"327","larva","Ostrinia nubilalis","ratkowsky_83","T1",7.00152136926523,7.53631622464889
"328","larva","Ostrinia nubilalis","ratkowsky_83","T2",73.3228610850797,147.512376586298
"329","larva","Ostrinia nubilalis","ratkowsky_83","k",6.04498166525868e-05,0.179326352644092
"330","larva","Ostrinia nubilalis","hilbertLogan_83","phi",0.094883560234411,0.0323580099503457
"331","larva","Ostrinia nubilalis","hilbertLogan_83","aa",19.4183590956941,10.5075603662962
"332","larva","Ostrinia nubilalis","hilbertLogan_83","Tb",8.03498569892226,3.67354853901455
"333","larva","Ostrinia nubilalis","hilbertLogan_83","Tmax",96.2969702696546,1038671990.97447
"334","larva","Ostrinia nubilalis","hilbertLogan_83","deltaT",2.89625151885567,24466955.8364212
